Date,Close,High,Low,Open,Volume,Ticker
2021-01-01,897.0471801757812,901.3349212804142,894.5647660465282,897.2728162016685,10015175,RELIANCE.NS
2021-01-04,898.55908203125,902.1923588792536,888.2458453983129,900.4772865018267,24513534,RELIANCE.NS
2021-01-05,887.3883666992188,895.2868807865033,882.8297431826808,888.6972346672048,24123091,RELIANCE.NS
2021-01-06,863.9861450195312,887.3431733969305,859.8789129484342,887.2980461940915,46401468,RELIANCE.NS
2021-01-07,862.5869140625,877.8649187321673,859.8788642012053,866.8069639014568,32325918,RELIANCE.NS
2021-01-08,872.7646484375,874.8859848548774,863.0156218642852,865.6785443392591,27540187,RELIANCE.NS
2021-01-11,856.3131103515625,875.0664443038766,854.1692104565021,875.0664443038766,33307825,RELIANCE.NS
2021-01-12,883.3036499023438,884.6350813991116,857.5092762592445,858.9084582491231,41161546,RELIANCE.NS
2021-01-13,875.0665893554688,891.3826993524976,865.8817711258671,886.2373626282811,26619458,RELIANCE.NS
2021-01-14,884.9058837890625,887.7493749036234,875.1794202704835,877.8649064942006,21553242,RELIANCE.NS
2021-01-15,874.457275390625,890.8636390967538,866.6038890308039,884.9058936036437,20593268,RELIANCE.NS
2021-01-18,895.44482421875,901.3348792931557,868.0933816341949,879.7154868801754,35100458,RELIANCE.NS
2021-01-19,910.0909423828125,916.6805284572496,900.2741645341835,900.2741645341835,32006615,RELIANCE.NS
2021-01-20,927.3773193359375,928.8667555895526,903.320643603404,912.3475752102067,30924537,RELIANCE.NS
2021-01-21,947.552490234375,956.8501859101181,936.539722158253,939.6991037539394,39087742,RELIANCE.NS
2021-01-22,925.0755615234375,954.7514714069698,918.5536065523528,952.7880800202875,30532660,RELIANCE.NS
2021-01-25,876.0595092773438,918.4633177239738,871.9974047459384,918.4633177239738,54207104,RELIANCE.NS
2021-01-27,855.2976684570312,868.8380370064367,852.13828693381,868.8380370064367,42370131,RELIANCE.NS
2021-01-28,846.9703979492188,868.0707665841978,844.0140887864603,848.5952159319003,34067814,RELIANCE.NS
2021-01-29,831.3538208007812,863.4669551342889,825.9602253530458,854.9816691410504,43712383,RELIANCE.NS
2021-02-01,855.43310546875,859.8111004411335,834.084477925657,839.2298143671649,34180952,RELIANCE.NS
2021-02-02,869.1991577148438,875.6082351731134,837.2214015345261,863.9861301874793,41470034,RELIANCE.NS
2021-02-03,871.3881225585938,881.024271808645,857.5543678212887,870.3274543100903,30301696,RELIANCE.NS
2021-02-04,868.5220947265625,875.6081993096957,859.8111124753323,868.3866534338506,25626981,RELIANCE.NS
2021-02-05,868.2738037109375,877.7069402051127,866.5812949964159,871.1172947571725,20248046,RELIANCE.NS
2021-02-08,880.7760009765625,888.6970772624597,870.6658975724772,872.4712241475884,21183400,RELIANCE.NS
2021-02-09,882.8973999023438,897.9948961529354,881.1597638793062,885.5152551213864,19604141,RELIANCE.NS
2021-02-10,891.08935546875,895.8059243068913,869.8761670362735,881.814282391384,21234156,RELIANCE.NS
2021-02-11,927.8287353515625,931.6652040177879,890.1640575276463,893.6619528050209,42539278,RELIANCE.NS
2021-02-12,921.4647827148438,937.8937101488065,909.6395460369704,927.7384783498696,30497029,RELIANCE.NS
2021-02-15,917.4026489257812,930.3562442810988,913.9724445678881,924.3759353313053,15791099,RELIANCE.NS
2021-02-16,929.5438232421875,938.5255683500038,918.4858688517324,920.6297689320974,21421660,RELIANCE.NS
2021-02-17,940.2632446289062,945.9952940995148,925.5268269442237,929.7694401272191,23742994,RELIANCE.NS
2021-02-18,933.2449340820312,951.6146304224952,929.3633380518262,941.0531936529034,18646877,RELIANCE.NS
2021-02-19,938.9317626953125,950.0574077634237,926.7454493980867,928.4154541842837,23403483,RELIANCE.NS
